operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,house,|Argentina|Capital Federal|Balvanera|,"-34.612743,-58.398728",219000,USD,3320565.6,219000,,20,,10950,,2,,http://balvanera.properati.com.ar/12pqb_venta_casa_balvanera_balcon_suite_lavadero_luminoso_subte-linea-a_subte-linea-h_re-max-premium
sell,apartment,|Argentina|Capital Federal|Recoleta|,"-34.588522992,-58.388441235",870000,USD,13191288,870000,,,,,,,9600,http://recoleta.properati.com.ar/uuo3_venta_departamentos_recoleta_callao-av-_1876
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Castelar|,"-34.6495785,-58.6514908",,,,,,,,,,,,http://castelar-moron.properati.com.ar/w6qp_venta_casa_castelar
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Martín Coronado|,"-34.5822850557,-58.6003542505",,,,,,68,,,,,,http://martin-coronado.properati.com.ar/yna4_venta_departamentos_martin-coronado_balcon_lavadero_luminoso_nardini-propiedades
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,79000,USD,1197829.6,79000,110,80,718.181818181818,987.5,,3,,http://ramos-mejia.properati.com.ar/sach_venta_casa_la-matanza
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,,175000,USD,2653420,175000,,82,,2134.14634146341,,3,,http://haedo.properati.com.ar/10cpe_venta_departamentos_haedo_balcon_suite_vestidor_garage_impecable_placard_mg-de-luca-estudio-inmobiliario
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Miguel|,"-34.5288589,-58.7290848",120000,USD,1819488,120000,0,,,,,,1500,http://san-miguel-bs-as-g-b-a-zona-norte.properati.com.ar/11m8l_venta_departamentos_san-miguel_balcon_toilette_lujoso_garage_placard_preiti-estudio-inmobiliario_dbb
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Villa Luzuriaga|,,75000,USD,1137180,75000,,42,,1785.71428571429,,2,,http://villa-luzuriaga.properati.com.ar/s7d1_venta_departamentos_la-matanza
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|San Martín|,"-34.5580848,-58.5430865",90000,USD,1364616,90000,58,58,1551.72413793103,1551.72413793103,,,,http://san-martin.properati.com.ar/11zhf_venta_departamentos_san-martin_balcon_lavadero_toilette_garage_a-ferreyra-propiedades
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Merlo|,"-34.6914703,-58.7155522",50000,USD,758120,50000,70,70,714.285714285714,714.285714285714,,3,,http://merlo-bs-as-g-b-a-zona-oeste.properati.com.ar/x1ek_venta_casa_merlo
sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.6165755,-58.4557784",,,,,66,63,,,,3,,http://caballito.properati.com.ar/10fo8_venta_departamentos_caballito_goyena
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Morón|,,49000,USD,742957.6,49000,,28,,1750,,1,,http://moron.properati.com.ar/12fxp_alquiler_departamentos_moron_estrenar_rocca-propiedades-moron
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|Victoria|,"-34.4547403,-58.541992",85000,USD,1288804,85000,43,43,1976.74418604651,1976.74418604651,,,1000,http://victoria.properati.com.ar/11flh_venta_departamentos_victoria_toilette_lujoso_garage_placard_aire-acondicionado_chozas-puntabayres
sell,apartment,|Argentina|Capital Federal|Palermo|,,295000,USD,4472908,295000,,85,,3470.58823529412,,2,,http://palermo.properati.com.ar/zyj4_venta_departamentos_capital-federal_garage_re-max-ayres
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,,88000,USD,1334291.2,88000,85,78,1035.29411764706,1128.20512820513,,,,http://pilar-bs-as-g-b-a-zona-norte.properati.com.ar/hn4u_venta_departamento_pilar
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Quilmes|,"-34.7352224,-58.3222455",125000,USD,1895300,125000,,,,,,5,,http://quilmes-bs-as-g-b-a-zona-sur.properati.com.ar/ihbr_venta_casa_quilmes
sell,PH,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|,"-34.5276248,-58.5103026",145000,USD,2198548,145000,114,114,1271.9298245614,1271.9298245614,,3,,http://vicente-lopez-bs-as-g-b-a-zona-norte.properati.com.ar/wrvs_venta_ph_vicente-lopez
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Villa Luzuriaga|,"-34.6661301,-58.5915416",90000,USD,1364616,90000,108,,833.333333333333,,,,,http://villa-luzuriaga.properati.com.ar/yocy_venta_casa_villa-luzuriaga_balcon_jardin_terraza_toilette_garage_placard_patricia-seiler-propiedades
sell,store,|Argentina|Capital Federal|Monserrat|,"-34.6117984,-58.3783962",,,,,500,,,,,7,,http://monserrat.properati.com.ar/ybny_venta_local_monserrat_lounge-propiedades_bry
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Ciudad Jardín Lomas del Palomar|,"-34.5972282503,-58.5850001048",530000,USD,8036072,530000,500,180,1060,2944.44444444444,,,,http://ciudad-jardin-lomas-del-palomar.properati.com.ar/119ra_venta_casa_ciudad-jardin-lomas-del-palomar_suite_jardin_lavadero_parrilla_piscina_toilette_garage_roldan-propiedades
sell,apartment,|Argentina|Capital Federal|Boedo|,"-34.63099,-58.4201892",67000,USD,1015880.8,67000,41,38,1634.14634146341,1763.15789473684,,,,http://boedo.properati.com.ar/vqr8_venta_departamentos_boedo
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Tigre|,"-34.4273864,-58.5804352",380000,USD,5761712,380000,310,224,1225.8064516129,1696.42857142857,,,,http://tigre.properati.com.ar/vir6_venta_casa_tigre_bocalandro_1300
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|San Justo|,"-34.6805097,-58.5550871",165000,USD,2501796,165000,95,85,1736.84210526316,1941.17647058824,,3,,http://san-justo-la-matanza.properati.com.ar/111kf_venta_departamentos_san-justo_lavadero_parrilla_patio_toilette_placard_russo-propiedades
sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.6166871,-58.4443684",240000,USD,3638976,240000,103,91,2330.09708737864,2637.36263736264,5,3,3200,http://caballito.properati.com.ar/x4ij_venta_departamentos_caballito
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|,"-34.5961757,-58.5472411",,,,,,,,,,4,,http://tres-de-febrero.properati.com.ar/7fcf_venta_casa_tres-de-febrero
sell,apartment,|Argentina|Capital Federal|Coghlan|,"-34.5628256,-58.4651369",105000,USD,1592052,105000,40,36,2625,2916.66666666667,,,,http://coghlan.properati.com.ar/12lwp_venta_departamentos_coghlan_balcon_lavadero_piscina_quincho_luminoso_amenities_aire-acondicionado_inmobiliaria-calot
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|,"-34.424002,-58.5848486",119000,USD,1804325.6,119000,64,60,1859.375,1983.33333333333,5,,,http://san-fernando-bs-as-g-b-a-zona-norte.properati.com.ar/pgwp_venta_departamentos_san-fernando_lavalle_900
sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|,"-34.6404856,-58.7012723",65000,USD,985556,65000,130,80,500,812.5,,,,http://ituzaingo-bs-as-g-b-a-zona-oeste.properati.com.ar/11j6d_venta_ph_ituzaingo_inmobiliaria-di-casoli
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,"-34.4428827059,-58.8531398673",650000,USD,9855560,650000,356,356,1825.84269662921,1825.84269662921,,,,http://pilar-bs-as-g-b-a-zona-norte.properati.com.ar/12od5_venta_casa_pilar_suite_hidromasaje_lavadero_parrilla_piscina_quincho_terraza_toilette_vestidor_garage_amoblado_impecable_blanco-propiedades_dii
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,,,,,,,,,,,,,http://nordelta.properati.com.ar/wptk_venta_casa_barrio-cabos-del-lago
sell,house,|Argentina|Capital Federal|Nuñez|,"-34.541401,-58.465397",390000,USD,5913336,390000,,216,,1805.55555555556,,5,,http://nunez.properati.com.ar/11yn5_venta_casa_nunez_balcon_suite_hidromasaje_lavadero_parrilla_patio_toilette_vestidor_garage_impecable_placard_re-max-data-house
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Quilmes|Bernal|,"-34.710631,-58.2652479",180000,USD,2729232,180000,390,,461.538461538462,,,,,http://bernal.properati.com.ar/xtfr_venta_casa_bernal_jardin
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|Ituzaingó|,,210000,USD,3184104,210000,281,190,747.330960854093,1105.26315789474,,6,,http://ituzaingo.properati.com.ar/s5e5_venta_casa_ituzaingo
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|San Martín|,"-34.5800918,-58.538076",99000,USD,1501077.6,99000,67,47,1477.61194029851,2106.3829787234,,,,http://san-martin.properati.com.ar/1204s_venta_departamentos_san-martin_balcon_parrilla_amoblado_placard_cutuli-propiedades
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,76000,USD,1152342.4,76000,,38,,2000,,2,,http://ramos-mejia.properati.com.ar/10cro_venta_departamentos_ramos-mejia_balcon_marras-propiedades
sell,apartment,|Argentina|Capital Federal|Barrio Norte|,"-34.598836779,-58.3869235069",65000,USD,985556,65000,21,21,3095.2380952381,3095.2380952381,,,,http://barrio-norte.properati.com.ar/12mfs_venta_departamentos_barrio-norte_luminoso_kitchinete_subte-linea-d_subte-linea-b_inmobiliaria-calot
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|,"-34.5546663,-58.5607671",500000,ARS,498612.18,32884.78,65,,505.919692307692,,,,,http://general-san-martin-bs-as-g-b-a-zona-norte.properati.com.ar/118vw_venta_departamentos_general-san-martin_balcon_parrilla_piscina_lujoso_placard_aire-acondicionado_grupo-dinal-s-a
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Miguel|,"-34.5505785,-58.6988014",135000,USD,2046924,135000,,150,,900,,,,http://san-miguel-bs-as-g-b-a-zona-norte.properati.com.ar/ear4_venta_casa_san-miguel
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Miguel|Muñiz|,"-34.545091,-58.704732",295000,USD,4472908,295000,130,130,2269.23076923077,2269.23076923077,1,4,4000,http://muniz.properati.com.ar/104qk_venta_departamentos_muniz_baulera_suite_hidromasaje_lavadero_parrilla_toilette_vestidor_garage_amoblado_placard_aire-acondicionado_losa-radiante_federico-negro-estudio-inmobiliario
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Almirante Brown|Adrogué|,"-34.7989921,-58.3958536",240000,USD,3638976,240000,93,93,2580.64516129032,2580.64516129032,,3,1800,http://adrogue.properati.com.ar/1159n_venta_departamentos_adrogue_baulera_gimnasio_piscina_sum_garage_darquier-propiedades
sell,apartment,|Argentina|Capital Federal|Palermo|,"-34.585491,-58.412204",395000,USD,5989148,395000,,145,,2724.13793103448,5,4,,http://palermo.properati.com.ar/11mz0_venta_departamentos_palermo_balcon_baulera_suite_lavadero_lujoso_garage_alto-palermo
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Castelar|,"-34.6466308,-58.6354065",350000,USD,5306840,350000,208,208,1682.69230769231,1682.69230769231,,6,,http://castelar-moron.properati.com.ar/pd6r_venta_casa_castelar
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,105000,USD,1592052,105000,,39,,2692.30769230769,,2,,http://ramos-mejia.properati.com.ar/11h7i_venta_departamentos_ramos-mejia_balcon_impecable_arkanian-propiedades
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|La Lucila|,"-34.4994133,-58.488181",265000,USD,4018036,265000,88,72,3011.36363636364,3680.55555555556,,,,http://la-lucila.properati.com.ar/11zvn_venta_departamentos_la-lucila_capitan-justo-g-de-bermudez_700_balcon_garage_laura-jorge-propiedades_aub
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,"-34.42237,-58.576583",238000,USD,3608651.2,238000,,69,,3449.27536231884,9,3,,http://tigre-bs-as-g-b-a-zona-norte.properati.com.ar/rnqs_venta_departamentos_tigre
sell,PH,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|,"-34.9051120672,-57.9649969889",160000,USD,2425984,160000,252,100,634.920634920635,1600,,,,http://la-plata-bs-as-g-b-a-zona-sur.properati.com.ar/110by_venta_ph_la-plata_hidromasaje_lavadero_patio_quincho_impecable_placard_natalia-borello
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,,290000,USD,4397096,290000,200,150,1450,1933.33333333333,,5,,http://haedo.properati.com.ar/zrt6_venta_casa_haedo_parrilla_patio_quincho_toilette_garage_berto-inmuebles
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,,560000,USD,8490944,560000,902,330,620.842572062084,1696.9696969697,,,,http://nordelta.properati.com.ar/rkm5_venta_casa_nordelta_200
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Quilmes|Quilmes|,"-34.7188514,-58.2751178",,,,,54,54,,,,,,http://quilmes.properati.com.ar/12r3g_venta_casa_quilmes_garage_o-keefe-inmobiliaria-rural-y-urbana_djq
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,,115000,USD,1743676,115000,,43,,2674.41860465116,,2,,http://haedo.properati.com.ar/sa2z_venta_departamentos_moron
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|,"-34.5262724,-58.4753203",1680000,USD,25472832,1680000,1200,900,1400,1866.66666666667,,,,http://vicente-lopez-bs-as-g-b-a-zona-norte.properati.com.ar/10yrn_venta_casa_vicente-lopez_doctor-eduardo-madero_1000_suite_lavadero_parrilla_piscina_quincho_terraza_toilette_vestidor_luminoso_garage_achaval-toribio-acassuso
